FieldName,Type,MaxLength,Nullable,Description,Notes,Example,PrimaryKey,TableName,TableDescription
round,INTEGER,,False,,,,,bomb_action,multi_event
tick,INTEGER,,False,,,,,bomb_action,multi_event
event_type,VARCHAR,,False,,,,,bomb_action,multi_event
player_id,INTEGER,,True,,,,,bomb_action,multi_event
player_id_pawn,INTEGER,,True,,,,,bomb_action,multi_event
site_code,INTEGER,,True,,,,,bomb_action,multi_event
entity_id,INTEGER,,True,,,,,bomb_action,multi_event
second,DECIMAL,,,,,,,bomb_action,multi_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,Merged from another channel. Null where no source row matches.,,,bomb_action,multi_event
player_x_pos,DECIMAL,,True,asof merge (nearby ticks),Merged from another channel. Null where no source row matches.,,,bomb_action,multi_event
player_y_pos,DECIMAL,,True,asof merge (nearby ticks),Merged from another channel. Null where no source row matches.,,,bomb_action,multi_event
player_z_pos,DECIMAL,,True,asof merge (nearby ticks),Merged from another channel. Null where no source row matches.,,,bomb_action,multi_event
player_x_vel,DECIMAL,,True,asof merge (nearby ticks),Merged from another channel. Null where no source row matches.,,,bomb_action,multi_event
player_y_vel,DECIMAL,,True,asof merge (nearby ticks),Merged from another channel. Null where no source row matches.,,,bomb_action,multi_event
player_z_vel,DECIMAL,,True,asof merge (nearby ticks),Merged from another channel. Null where no source row matches.,,,bomb_action,multi_event
player_phi_ang,DECIMAL,,True,asof merge (nearby ticks),Merged from another channel. Null where no source row matches.,,,bomb_action,multi_event
player_theta_ang,DECIMAL,,True,asof merge (nearby ticks),Merged from another channel. Null where no source row matches.,,,bomb_action,multi_event
player_weapon_code,INTEGER,,True,asof merge (nearby ticks),Merged from another channel. Null where no source row matches.,,,bomb_action,multi_event
player_team_code,INTEGER,,True,asof merge (nearby ticks),Merged from another channel. Null where no source row matches.,,,bomb_action,multi_event
round,INTEGER,,False,,,,,bomb_defuse,multi_event
tick,INTEGER,,False,,,,,bomb_defuse,multi_event
event_type,VARCHAR,,False,,,,,bomb_defuse,multi_event
player_id,INTEGER,,False,,,,,bomb_defuse,multi_event
has_kit,BOOLEAN,,True,,,,,bomb_defuse,multi_event
second,DECIMAL,,,,,,,bomb_defuse,multi_event
player_id_fixed,INTEGER,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,Merged from another channel. Null where no source row matches.,,,bomb_defuse,multi_event
player_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_defuse,multi_event
player_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_defuse,multi_event
player_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_defuse,multi_event
player_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_defuse,multi_event
player_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_defuse,multi_event
