FieldName,Type,MaxLength,Nullable,Description,Notes,Example,PrimaryKey,TableName,TableDescription
round,DECIMAL,,False,,,,,bomb_action,multi_event
tick,DECIMAL,,False,,,,,bomb_action,multi_event
event_type,VARCHAR,,False,,,,,bomb_action,multi_event
player_id,DECIMAL,,True,,,,,bomb_action,multi_event
player_id_pawn,DECIMAL,,True,,,,,bomb_action,multi_event
site_code,DECIMAL,,True,,,,,bomb_action,multi_event
entity_id,DECIMAL,,True,,,,,bomb_action,multi_event
second,DECIMAL,,True,,,,,bomb_action,multi_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,bomb_action,multi_event
player_x_pos,DECIMAL,,True,asof merge (nearby ticks),,,,bomb_action,multi_event
player_y_pos,DECIMAL,,True,asof merge (nearby ticks),,,,bomb_action,multi_event
player_z_pos,DECIMAL,,True,asof merge (nearby ticks),,,,bomb_action,multi_event
player_x_vel,DECIMAL,,True,asof merge (nearby ticks),,,,bomb_action,multi_event
player_y_vel,DECIMAL,,True,asof merge (nearby ticks),,,,bomb_action,multi_event
player_z_vel,DECIMAL,,True,asof merge (nearby ticks),,,,bomb_action,multi_event
player_phi_ang,DECIMAL,,True,asof merge (nearby ticks),,,,bomb_action,multi_event
player_theta_ang,DECIMAL,,True,asof merge (nearby ticks),,,,bomb_action,multi_event
player_weapon_code,DECIMAL,,True,asof merge (nearby ticks),,,,bomb_action,multi_event
player_team_code,DECIMAL,,True,asof merge (nearby ticks),,,,bomb_action,multi_event
player_tick,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,bomb_action,multi_event
player_player_id,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,bomb_action,multi_event
round,DECIMAL,,False,,,,,bomb_defuse,multi_event
tick,DECIMAL,,False,,,,,bomb_defuse,multi_event
event_type,VARCHAR,,False,,,,,bomb_defuse,multi_event
player_id,DECIMAL,,False,,,,,bomb_defuse,multi_event
has_kit,DECIMAL,,True,,,,,bomb_defuse,multi_event
second,DECIMAL,,True,,,,,bomb_defuse,multi_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,bomb_defuse,multi_event
player_x_pos,DECIMAL,,True,,,,,bomb_defuse,multi_event
player_y_pos,DECIMAL,,True,,,,,bomb_defuse,multi_event
player_z_pos,DECIMAL,,True,,,,,bomb_defuse,multi_event
player_x_vel,DECIMAL,,True,,,,,bomb_defuse,multi_event
player_y_vel,DECIMAL,,True,,,,,bomb_defuse,multi_event
player_z_vel,DECIMAL,,True,,,,,bomb_defuse,multi_event
player_phi_ang,DECIMAL,,True,,,,,bomb_defuse,multi_event
player_theta_ang,DECIMAL,,True,,,,,bomb_defuse,multi_event
player_weapon_code,DECIMAL,,True,,,,,bomb_defuse,multi_event
player_team_code,DECIMAL,,True,,,,,bomb_defuse,multi_event
player_tick,DECIMAL,,True,,May be missing.,,,bomb_defuse,multi_event
player_player_id,DECIMAL,,True,,May be missing.,,,bomb_defuse,multi_event
round,DECIMAL,,False,,,,,bomb_state,multi_event
tick,DECIMAL,,False,,,,,bomb_state,multi_event
event_type,VARCHAR,,False,,,,,bomb_state,multi_event
player_id,DECIMAL,,False,,,,,bomb_state,multi_event
site_code,DECIMAL,,True,,,,,bomb_state,multi_event
second,DECIMAL,,True,,,,,bomb_state,multi_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,bomb_state,multi_event
player_x_pos,DECIMAL,,True,,,,,bomb_state,multi_event
player_y_pos,DECIMAL,,True,,,,,bomb_state,multi_event
player_z_pos,DECIMAL,,True,,,,,bomb_state,multi_event
player_x_vel,DECIMAL,,True,,,,,bomb_state,multi_event
player_y_vel,DECIMAL,,True,,,,,bomb_state,multi_event
player_z_vel,DECIMAL,,True,,,,,bomb_state,multi_event
player_phi_ang,DECIMAL,,True,,,,,bomb_state,multi_event
player_theta_ang,DECIMAL,,True,,,,,bomb_state,multi_event
player_weapon_code,DECIMAL,,True,,,,,bomb_state,multi_event
player_team_code,DECIMAL,,True,,,,,bomb_state,multi_event
player_tick,DECIMAL,,True,,May be missing.,,,bomb_state,multi_event
player_player_id,DECIMAL,,True,,May be missing.,,,bomb_state,multi_event
round,DECIMAL,,False,,,,,bot_takeover,single_event
tick,DECIMAL,,False,,,,,bot_takeover,single_event
player_id,DECIMAL,,False,,,,,bot_takeover,single_event
